age_ka,d18O,SL_m,V_LIS,V_EIS,V_AIS,V_GrIS,d18O_LIS,d18O_EIS,d18O_AIS,d18O_GrIS,d18Ow_IV,d18O_T,Tw
2405,3.382890007,-7.419,1.269,3.62,60.027,7.505,-16.553,-18.664,-52.645,-25.061,0.041,0.111,-0.446
2404,3.455518547,-11.072,2.184,4.881,60.057,7.597,-16.616,-18.665,-52.617,-25.024,0.055,0.17,-0.68
2403,3.564293744,-16.707,3.954,6.548,60.127,7.743,-17.056,-18.961,-52.595,-25.038,0.078,0.256,-1.026
2402,3.673068941,-22.54,7.212,8.537,60.289,7.968,-17.863,-19.461,-52.583,-25.111,0.116,0.327,-1.309
2401,3.683439704,-23.106,10.978,10.133,60.527,8.202,-18.882,-20.033,-52.582,-25.229,0.16,0.294,-1.175
2400,3.675670048,-22.682,11.357,10.272,60.553,8.224,-19.71,-20.491,-52.583,-25.325,0.168,0.278,-1.11
2399,3.65005371,-21.289,11.073,10.168,60.533,8.207,-19.71,-20.491,-52.583,-25.325,0.165,0.255,-1.02
2398,3.57624197,-17.338,10.15,9.818,60.47,8.152,-19.71,-20.491,-52.583,-25.325,0.156,0.191,-0.763
2397,3.502430229,-13.478,7.605,8.728,60.312,7.994,-19.71,-20.491,-52.583,-25.325,0.129,0.143,-0.574
2396,3.47459142,-12.046,5.282,7.468,60.188,7.839,-19.71,-20.491,-52.583,-25.325,0.103,0.141,-0.565
2395,3.466821763,-11.648,4.478,6.935,60.15,7.782,-19.71,-20.491,-52.583,-25.325,0.094,0.143,-0.571
2394,3.457630265,-11.18,4.262,6.78,60.141,7.766,-19.71,-20.491,-52.583,-25.325,0.091,0.136,-0.545
2393,3.438206123,-10.193,4.011,6.592,60.13,7.747,-19.71,-20.491,-52.583,-25.325,0.088,0.12,-0.479
2392,3.41878198,-9.213,3.498,6.18,60.108,7.708,-19.71,-20.491,-52.583,-25.325,0.082,0.107,-0.427
2391,3.450440216,-10.814,3.011,5.746,60.088,7.669,-19.71,-20.491,-52.583,-25.325,0.076,0.145,-0.58
2390,3.524251957,-14.61,3.818,6.442,60.121,7.733,-19.144,-20.284,-52.565,-25.26,0.079,0.215,-0.859
2389,3.598063698,-18.497,5.942,7.862,60.221,7.884,-19.21,-20.366,-52.554,-25.255,0.103,0.265,-1.059
2388,3.577302493,-17.394,8.337,9.065,60.355,8.04,-19.624,-20.598,-52.549,-25.294,0.131,0.216,-0.865
2387,3.553993522,-16.165,7.64,8.745,60.314,7.996,-19.624,-20.598,-52.549,-25.294,0.124,0.2,-0.801
