latitude,depth,salinity,Estimated-Measured Salinity [pss-78]
-3.9983,397.408,34.680801,-0.004826
-3.9983,594.933,34.546501,0.017841
-3.9983,793.954,34.527500,0.010322
-3.9983,993.477,34.551701,-0.005071
-3.9967,397.706,34.696999,-0.021062
-3.9967,596.321,34.573299,-0.009195
-3.9967,794.251,34.547699,-0.009870
-3.9967,992.784,34.547699,-0.001084
-3.9933,3.878,34.710899,-10000000000.000000
-3.9933,9.447,34.713600,-10000000000.000000
-3.9933,24.960,34.824001,0.119658
-3.9933,39.875,34.908600,0.076536
-3.9933,59.561,34.993301,0.077255
-3.9933,99.822,35.573200,-0.300445
-3.9933,198.601,35.863701,-0.547262
-3.9933,398.103,34.662998,0.012886
-3.9933,596.321,34.567600,-0.003463
-3.9933,794.449,34.548801,-0.010956
-3.9933,992.785,34.542599,0.004016
-3.9750,6.961,34.773602,-10000000000.000000
-3.9750,21.877,34.778500,0.160365
-3.9750,46.735,34.803398,0.209086
-3.9750,67.614,35.212101,-0.102022
-3.9750,96.442,35.144199,0.110142
-3.9750,121.291,35.332500,0.015236
-3.9750,145.143,35.408001,0.003435
-3.9750,170.980,35.614601,-0.211171
-3.9750,194.826,35.488201,-0.159483
-3.9750,219.663,35.194599,0.053483
-3.9750,245.490,35.010201,0.092621
-3.9750,293.163,34.771301,-0.088965
-3.9750,342.810,34.725498,-0.057147
-3.9750,393.438,34.675900,0.000698
-3.9750,441.076,34.626099,0.030870
-3.9750,492.672,34.604401,0.018305
-3.9750,588.884,34.556499,0.009189
-3.9750,689.016,34.549301,0.000576
-3.9750,787.118,34.537201,0.000787
-3.9750,888.145,34.540501,0.000472
-3.9750,984.174,34.544201,0.002232
-3.9750,1084.116,34.554401,-0.003571
-3.9750,1183.022,34.560101,-0.001674
-3.9750,1382.669,34.576500,0.001368
-3.9750,1578.180,34.596500,0.001543
-3.9750,1776.468,34.620701,-0.000716
-3.9750,1975.557,34.637798,-0.000757
-3.9750,2064.199,34.645401,-0.003023
-3.9750,2197.095,34.653301,-0.002549
-3.5713,6.961,34.704601,-10000000000.000000
-3.5713,20.883,34.692299,0.272303
-3.5713,45.741,34.710701,0.327422
-3.5713,69.602,35.118000,0.011001
-3.5713,95.448,35.287201,-0.059802
-3.5713,119.304,35.149399,0.142264
-3.5713,145.144,35.231800,0.124327
-3.5713,168.993,35.579800,-0.193061
-3.5713,195.820,35.671299,-0.304490
-3.5713,243.505,35.179401,-0.018319
-3.5713,294.157,34.862598,0.059320
-3.5713,341.819,34.772400,0.014844
-3.5713,388.477,34.708000,0.004237
-3.5713,441.078,34.657700,0.008932
-3.5713,489.698,34.622700,0.006045
-3.5713,589.878,34.552299,0.015697
-3.5713,688.028,34.549400,-0.000070
-3.5713,787.122,34.538300,0.003442
-3.5713,887.159,34.538502,0.003751
-3.5713,985.169,34.545700,0.000663
-3.5713,1084.121,34.552898,-0.000477
-3.5713,1183.028,34.561298,0.001156
-3.5713,1377.737,34.575600,0.007789
-3.5713,1576.214,34.598801,0.003646
-3.5713,1773.519,34.595200,0.016460
-3.5713,1976.552,34.638901,-0.000490
-3.5713,2167.580,34.647400,-0.000043
-3.5713,2366.306,34.657200,0.000815
-3.5713,2565.830,34.662601,-0.000179
-3.5713,2759.280,34.665901,0.000240
-3.5713,2958.442,34.669899,0.001425
-3.5713,3156.442,34.674099,0.000739
-3.5713,3242.643,34.678200,-0.000906
-3.4940,10.243,34.928699,-10000000000.000000
-3.4940,20.485,35.072498,-0.091480
-3.4940,50.116,35.394199,-0.323474
-3.4940,100.220,35.588299,-0.334518
-3.4940,150.013,35.767700,-0.390033
-3.4940,199.695,35.266399,0.083065
-3.4940,249.564,34.954300,0.182045
-3.4940,299.023,34.818901,0.102839
-3.4940,399.098,34.693401,0.014282
-3.4940,498.231,34.612801,0.011027
-3.4940,597.812,34.564499,0.001601
-3.4940,696.751,34.544102,0.003936
-3.4940,795.841,34.546799,-0.004602
-3.4940,894.883,34.544899,-0.001937
-3.4940,993.978,34.546001,0.000889
-3.4940,1191.631,34.570801,-0.006624
-3.4940,1389.494,34.595600,-0.009399
-3.4940,1587.269,34.608898,-0.004565
-3.4940,1784.367,34.626202,-0.010951
-3.4940,1981.873,34.641201,-0.002406
-3.4940,2474.939,34.664001,-0.002103
-3.4940,2965.211,34.673801,-0.002156
-3.4940,3455.849,34.688702,-0.002442
-3.1907,6.961,34.779301,-10000000000.000000
-3.1907,20.883,34.783901,0.190899
-3.1907,46.736,34.998501,0.039840
-3.1907,71.591,35.071400,0.058546
-3.1907,96.443,35.201401,0.035747
-3.1907,120.298,35.129200,0.197502
-3.1907,145.144,35.368401,0.036250
-3.1907,168.000,35.585098,-0.149239
-3.1907,194.828,35.442001,-0.024943
-3.1907,244.499,35.098000,0.145585
-3.1907,294.158,34.876301,0.120738
-3.1907,342.813,34.764400,0.043531
-3.1907,390.463,34.716999,0.004614
-3.1907,442.072,34.664299,0.011938
