label,mbsf,mcd,rmcd,age_ka,d18O,d13C,Reference
"138-849D-2H-5,36",19.86,23.66,10.5486,822.411,3.76,-0.3,"Mix et al., 1995"
"138-849D-2H-5,46",19.96,23.76,10.5953,826.706,3.85,-0.46,"Mix et al., 1995"
"138-849D-2H-5,56",20.06,23.86,10.6298,831,3.87,-0.23,"Mix et al., 1995"
"138-849D-2H-5,66",20.16,23.96,10.6643,835.291,3.51,-0.23,"Mix et al., 1995"
"138-849D-2H-5,76",20.26,24.06,10.6988,839.599,3.53,-0.37,"Mix et al., 1995"
"138-849D-2H-5,86",20.36,24.16,10.7333,843.902,3.74,-0.26,"Mix et al., 1995"
"138-849D-2H-5,96",20.46,24.26,10.7678,848.18,3.57,-0.25,"Mix et al., 1995"
"138-849D-2H-5,106",20.56,24.36,10.8023,852.475,3.67,-0.19,"Mix et al., 1995"
"138-849D-2H-5,116",20.66,24.46,10.8368,856.77,3.81,-0.48,"Mix et al., 1995"
"138-849D-2H-5,126",20.76,24.56,10.8713,861.065,3.68,-0.43,"Mix et al., 1995"
"138-849D-2H-5,136",20.86,24.66,10.9058,865.36,3.55,-0.27,"Mix et al., 1995"
"138-849D-2H-5,146",20.96,24.76,10.9484,869.654,4.62,-0.78,"Mix et al., 1995"
"138-849D-2H-6,6",21.06,24.86,11.0099,874.12,4.61,-0.7,"Mix et al., 1995"
"138-849D-2H-6,16",21.16,24.96,11.0713,878.586,4.58,-0.58,"Mix et al., 1995"
"138-849B-3H-4,65",21.35,25.2,11.2187,889.304,4.33,-0.64,"Mix et al., 1995"
"138-849B-3H-4,75",21.45,25.3,11.2801,893.77,4.15,-0.51,"Mix et al., 1995"
"138-849B-3H-4,87",21.57,25.42,11.3538,899.129,4.25,-0.34,"Mix et al., 1995"
"138-849B-3H-4,97",21.67,25.52,11.4153,903.595,4.19,-0.49,"Mix et al., 1995"
"138-849B-3H-4,107",21.77,25.62,11.4767,908.061,4.06,-0.57,"Mix et al., 1995"
"138-849B-3H-4,117",21.87,25.72,11.5381,912.527,4.13,-0.64,"Mix et al., 1995"
"138-849B-3H-4,127",21.97,25.82,11.613,916.993,4.17,-0.85,"Mix et al., 1995"
"138-849B-3H-4,137",22.07,25.92,11.6931,921.459,4.31,-0.9,"Mix et al., 1995"
"138-849B-3H-4,147",22.17,26.02,11.7731,925.924,4.28,-0.72,"Mix et al., 1995"
"138-849B-3H-5,7",22.27,26.12,11.8531,930.39,4.27,-0.79,"Mix et al., 1995"
"138-849B-3H-5,27",22.47,26.32,12.0086,939.322,4.02,-0.53,"Mix et al., 1995"
"138-849B-3H-5,37",22.57,26.42,12.0441,942.169,3.78,-0.5,"Mix et al., 1995"
"138-849B-3H-5,49",22.69,26.54,12.0866,945.586,3.77,-0.52,"Mix et al., 1995"
"138-849B-3H-5,56",22.76,26.61,12.1114,947.579,3.5,-0.16,"Mix et al., 1995"
"138-849C-3H-1,46",20.46,26.7763,12.1703,952.314,3.5,0.05,"Mix et al., 1995"
"138-849C-3H-1,56",20.56,26.8763,12.2057,955.162,3.54,0.09,"Mix et al., 1995"
"138-849C-3H-1,66",20.66,26.9763,12.2412,958.009,3.4,-0.37,"Mix et al., 1995"
"138-849C-3H-1,86",20.86,27.1763,12.312,963.735,4.02,-0.66,"Mix et al., 1995"
"138-849C-3H-1,96",20.96,27.2763,12.3475,966.597,4.27,-0.5,"Mix et al., 1995"
"138-849C-3H-1,106",21.06,27.3763,12.3829,969.46,4.34,-0.22,"Mix et al., 1995"
"138-849C-3H-1,116",21.16,27.4763,12.4183,973.496,4.17,-0.12,"Mix et al., 1995"
"138-849C-3H-1,126",21.26,27.5763,12.4538,977.531,3.87,-0.13,"Mix et al., 1995"
"138-849C-3H-1,136",21.36,27.6763,12.4892,981.566,3.71,-0.16,"Mix et al., 1995"
"138-849C-3H-1,146",21.46,27.7763,12.5246,985.601,3.76,-0.26,"Mix et al., 1995"
"138-849C-3H-2,6",21.56,27.8763,12.56,989.636,4.06,-0.32,"Mix et al., 1995"
"138-849C-3H-2,16",21.66,27.9763,12.5955,993.672,4.15,-0.32,"Mix et al., 1995"
"138-849C-3H-2,26",21.76,28.0763,12.6405,997.309,3.87,0.03,"Mix et al., 1995"
