depth,age_ka,mcd,CaCO3,MAR,label
79.36,1981.4,85.59,2.1,0.05,"145-882A-9H-3,104-108"
79.42,1983.1,85.65,0,0,"145-882A-9H-3,112-113"
79.5,1985.3,85.73,0.1,0,"145-882A-9H-3,120-122"
79.72,1991.1,85.94,0.2,0,"145-882A-9H-3,140-144"
79.87,1995.3,86.09,0.4,0.01,"145-882A-9H-4,7-10"
80.02,1999.2,86.23,13.6,0.29,"145-882A-9H-4,20-24"
80.2,2004.2,86.41,0.5,0.01,"145-882A-9H-4,40-43"
80.32,2007.3,86.52,0.1,0,"145-882A-9H-4,50-54"
80.4,2009.5,86.6,0.1,0,"145-882A-9H-4,60-62"
80.62,2017.2,86.81,0.3,0.01,"145-882A-9H-4,80-84"
80.69,2020.2,86.88,0.2,0,"145-882A-9H-4,89-91"
80.83,2026.2,87.02,0,0,"145-882A-9H-4,103-104"
80.9,2029.2,87.09,0.1,0,"145-882A-9H-4,108-112"
81,2033.1,87.18,0.1,0,"145-882A-9H-4,120-122"
81.22,2042.5,87.4,0.1,0,"145-882A-9H-4,140-144"
81.4,2049.9,87.57,0.1,0,"145-882A-9H-5,10-12"
81.52,2054.2,87.69,0.1,0,"145-882A-9H-5,20-24"
81.67,2058.6,87.83,0,0,"145-882A-9H-5,37-39"
81.82,2063.2,87.98,0.1,0,"145-882A-9H-5,50-54"
81.93,2066.7,88.09,0.4,0.01,"145-882A-9H-5,61-65"
81.98,2067.9,88.13,2,0.05,"145-882A-9H-5,68-70"
82.18,2074.2,88.33,9.6,0.22,"145-882A-9H-5,88-90"
82.32,2078.2,88.46,0.1,0,"145-882A-9H-5,100-104"
82.46,2082.6,88.6,0.1,0,"145-882A-9H-5,116-118"
82.48,2083.2,88.62,0,0,"145-882A-9H-5,118-119"
82.72,2092.8,88.85,0,0,"145-882A-9H-5,140-144"
82.9,2101.6,89.03,0.1,0,"145-882A-9H-6,10-12"
83.02,2107,89.14,0.1,0,"145-882A-9H-6,20-24"
83.18,2114.8,89.3,0.1,0,"145-882A-9H-6,38-41"
83.32,2121.2,89.43,1.3,0.02,"145-882A-9H-6,50-54"
83.41,2125.6,89.52,23.9,0.36,"145-882A-9H-6,61-64"
83.62,2134.5,89.72,15.5,0.23,"145-882A-9H-6,80-84"
83.71,2138.1,89.81,1,0.02,"145-882A-9H-6,91-93"
