Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,d18Oadj,d13Cadj,age_ka,MIS,CODE,LiCa,BCa,NaCa,MgCa,AlCa,MnCa,SrCa,CdCa,BaCa,NdCa,UCa,FeCa
,ODP1209,B,5,H,2,22,24,35.32,39.04,CWUEL,3.33,-0.16,3.97,-0.16,2653.28,,X5/X6,11.61310736,15.25876308,3.407097139,0.994396507,34.44695744,70.91603046,0.99050184,0.115672412,3.348625076,0.325666929,15.94636319,15.80426362
S17 3538,ODP1209,B,5,H,2,25,27,35.35,39.07,CWUEL,3.01,-0.06,3.65,-0.06,2654.62047,,T17,11.5928,12.4371,2.7092,0.9445,10.4908,86.7261,1.0352,0.125,3.1795,0.3318,15.9867,-278.7699
,ODP1209,B,5,H,2,28,30,35.38,39.1,CWUEL,2.99,-0.1,3.63,-0.1,2656.07,,X7,11.24386947,14.17665966,2.845378701,0.913592119,14.9388708,58.84049238,1.025371316,0.105481073,3.140143716,0.264788502,12.39929378,13.42279386
,ODP1209,B,5,H,2,32,34,35.42,39.14,CWUEL,3.13,-0.15,3.77,-0.15,2658.03,,,,,,,,,,,,,,
S17 3539,ODP1209,B,5,H,2,35,37,35.45,39.17,CWUEL,3.11,-0.03,3.75,-0.03,2659.51305,,T2,11.827,14.5276,2.6208,0.8948,11.7391,78.109,1.027,0.1277,4.3272,0.3837,19.0793,12.5481
S17 3540,ODP1209,B,5,H,2,45,47,35.55,39.27,CWUEL,3.24,-0.32,3.88,-0.32,2663.73846,,,,,,,,,,,,,,
,ODP1209,B,5,H,2,48,50,35.58,39.3,CWUEL,3.26,-0.5,3.9,-0.5,2665.11,,X8,11.4752115,16.57956551,2.701134314,1.029618716,10.50067882,72.73851683,0.996706221,0.113501335,3.654116887,0.300060748,15.219666,15.81460262
,ODP1209,B,5,H,2,52,54,35.62,39.34,CWUEL,3.19,-0.09,3.83,-0.09,2666.99,,X9,11.59072664,13.7868354,2.791041306,1.017116796,8.906812784,67.50454297,1.005778777,0.122450034,3.336014598,0.278381688,13.77224348,14.3140389
S17 3541,ODP1209,B,5,H,2,55,57,35.65,39.37,CWUEL,3.17,0,3.81,0,2668.40865,,K4,11.50599441,15.60753269,2.882025341,1.043109368,10.39219128,61.15832147,0.99947439,0.116875602,3.101740394,0.302743575,16.70736608,12.95127584
,ODP1209,B,5,H,2,58,60,35.68,39.4,CWUEL,2.94,0.04,3.58,0.04,2670.02,,Z1,11.50392855,15.11183019,3.048126111,1.08577142,12.33307418,80.53946279,0.996647806,0.13880106,3.167402986,0.21794274,12.65423724,12.35321572
S18 0781,ODP1209,B,5,H,2,60,62,35.7,39.42,CWUEL,3.05,-0.05,3.69,-0.05,2671.07733,,T3,12.8386,17.103,2.7522,1.1383,10.9235,72.1398,1.0295,0.129,4.0539,0.1611,11.3517,4.8148
,ODP1209,B,5,H,2,62,64,35.72,39.44,CWUEL,3.07,-0.23,3.71,-0.23,2672.26,,Z2,11.79520133,15.38842195,2.907786377,0.974305074,11.16714124,68.70128738,1.00998708,0.122509436,3.409835925,0.171612563,13.50037747,12.73081647
S17 3542,ODP1209,B,5,H,2,65,67,35.75,39.47,CWUEL,2.95,-0.17,3.59,-0.17,2673.96839,,K5,12.40731747,19.68389128,3.28544398,1.080015739,18.42428253,76.38615568,1.015528598,0.11647417,3.174383816,0.201639065,15.82513728,12.75181313
