lower95_age,age_ka,upper95_age,depth (mcd),Species,d18O_unadj,d18O,d13C
2997.262095,3004.439128,3013.211058,46.45,CWUEL,3.12,3.76,-0.14
2998.591175,3006.034024,3015.204678,46.48,CWUEL,3.07,3.71,-0.07
3002.711324,3010.287081,3019.324827,46.56,CWUEL,3.04,3.68,0.12
3004.97076,3012.546518,3021.982988,46.61,CWUEL,3.11,3.75,0.00
3009.090909,3016.932483,3026.634769,46.71,CWUEL,3.04,3.68,-0.32
3013.343966,3020.919724,3033.413078,46.81,CWUEL,3.02,3.66,-0.03
3015.869219,3023.444976,3036.602871,46.86,CWUEL,3.02,3.66,-0.22
3018.660287,3026.900585,3045.507709,46.93,CWUEL,3.06,3.70,-0.25
3022.780436,3031.685274,3048.298777,47.01,CWUEL,3.01,3.65,-0.29
3028.628389,3038.064859,3054.013822,47.11,CWUEL,2.87,3.51,-0.19
3031.020734,3040.988836,3056.007443,47.16,CWUEL,2.94,3.58,-0.05
3034.077618,3044.04572,3058.798511,47.21,CWUEL,2.88,3.52,-0.10
3039.925572,3049.229133,3063.317384,47.31,CWUEL,3.02,3.66,-0.18
3044.311536,3054.545455,3069.03243,47.41,CWUEL,2.83,3.47,0.02
3046.703881,3057.469431,3072.222222,47.46,CWUEL,2.97,3.61,-0.11
3049.893674,3060.659224,3076.209463,47.51,CWUEL,2.91,3.55,0.05
3055.874535,3068.102073,3084.316853,47.63,CWUEL,2.84,3.48,0.05
3059.994684,3073.152578,3089.23445,47.71,CWUEL,2.93,3.57,-0.02
3062.387028,3076.874003,3092.158426,47.76,CWUEL,2.93,3.57,0.03
3065.311005,3080.861244,3094.816587,47.81,CWUEL,2.83,3.47,0.04
3071.291866,3087.639553,3099.734184,47.91,CWUEL,2.84,3.48,0.13
3074.215843,3091.360978,3102.923977,47.96,CWUEL,2.76,3.40,0.12
3077.272727,3094.683679,3105.449229,48.01,CWUEL,2.96,3.60,-0.14
3080.728336,3098.00638,3108.10739,48.06,CWUEL,3.07,3.71,-0.01
3083.652313,3100.797448,3110.366826,48.11,CWUEL,2.81,3.45,-0.02
3090.297714,3105.715045,3113.955343,48.21,CWUEL,2.87,3.51,-0.16
3096.677299,3110.366826,3118.075492,48.31,CWUEL,2.96,3.60,0.01
