depth_m,age_ka,d18O,ship_depth,coretop,core_recov,notes
115.9,2494.8,-0.38,116.2,109.2,104.5,13 5 100-102cm
115.99,2497,-0.19,116.3,109.2,104.5,13 5 110-112cm
116.12,2499.9,0.17,116.43,109.2,104.5,13 5 123-125cm
116.19,2501.5,-0.28,116.5,109.2,104.5,13 5 130-132cm
116.28,2503.7,-0.29,116.6,109.2,104.5,13 5 140-142cm
116.41,2506.6,-0.77,116.73,109.2,104.5,13 6 3-5cm
116.47,2508.1,-1.01,116.8,109.2,104.5,13 6 10-12cm
116.57,2510.4,-0.49,116.9,109.2,104.5,13 6 20-22cm
116.66,2512.5,-0.82,117,109.2,104.5,13 6 30-32cm
116.78,2514.8,-0.48,117.12,109.2,104.5,13 6 42-44cm
116.86,2516.2,-0.8,117.2,109.2,104.5,13 6 50-52cm
116.95,2518.1,-0.25,117.3,109.2,104.5,13 6 60-62cm
117.05,2519.9,-0.7,117.4,109.2,104.5,13 6 70-72cm
117.14,2521.7,-0.5,117.5,109.2,104.5,13 6 80-82cm
117.24,2523.5,-0.5,117.6,109.2,104.5,13 6 90-92cm
117.33,2525.4,-0.54,117.7,109.2,104.5,13 6 100-102cm
117.43,2527.2,-999,117.8,109.2,104.5,13 6 110-112cm
117.55,2529.6,-0.22,117.93,109.2,104.5,13 6 123-125cm
117.62,2530.9,-0.12,118,109.2,104.5,13 6 130-132cm
117.72,2532.7,0.05,118.1,109.2,104.5,13 6 140-142cm
117.84,2535.1,-0.61,118.23,109.2,104.5,13 7 3-5cm
117.91,2536.3,-0.91,118.3,109.2,104.5,13 7 10-12cm
118,2538.2,0.38,118.4,109.2,104.5,13 7 20-22cm
118.1,2540,-0.3,118.5,109.2,104.5,13 7 30-32cm
118.2,2542.2,-1.42,118.6,109.2,104.5,13 7 40-42cm
118.29,2544.5,-1.52,118.7,109.2,104.5,13 7 50-52cm
118.39,2546.8,-1.14,118.8,109.2,104.5,13 7 60-62cm
118.43,2547.9,-999,118.85,109.2,104.5,13 CC 0-2cm
118.53,2550.1,-1.29,118.95,109.2,104.5,13 CC 10-12cm
118.63,2552.5,-1.29,119.05,109.2,104.5,13 CC 20-22cm
118.73,2555.1,-1.42,118.73,118.7,105.8,14 1 3-5cm
118.79,2556.9,-1.05,118.8,118.7,105.8,14 1 10-12cm
118.89,2559.4,0.18,118.9,118.7,105.8,14 1 20-22cm
118.98,2561.9,-1.41,119,118.7,105.8,14 1 30-32cm
119.08,2564.4,-0.62,119.1,118.7,105.8,14 1 40-42cm
119.17,2567,-0.18,119.2,118.7,105.8,14 1 50-52cm
119.3,2570.2,-0.62,119.33,118.7,105.8,14 1 63-65cm
119.38,2572.5,-1.22,119.42,118.7,105.8,14 1 72-74cm
119.46,2574.6,-1.42,119.5,118.7,105.8,14 1 80-82cm
119.55,2577.1,-999,119.6,118.7,105.8,14 1 90-92cm
119.65,2579.7,-0.99,119.7,118.7,105.8,14 1 100-102cm
119.74,2582.3,-1.68,119.8,118.7,105.8,14 1 110-112cm
119.86,2585.6,0.07,119.93,118.7,105.8,14 1 123-125cm
119.93,2587.4,-0.83,120,118.7,105.8,14 1 130-132cm
120.04,2590.4,-999,120.12,118.7,105.8,14 1 142-144cm
120.15,2593.3,-0.62,120.23,118.7,105.8,14 2 3-5cm
120.21,2595,-0.37,120.3,118.7,105.8,14 2 10-12cm
120.31,2596.8,-0.32,120.4,118.7,105.8,14 2 20-22cm
120.4,2598.6,0.08,120.5,118.7,105.8,14 2 30-32cm
120.52,2600.9,-0.26,120.63,118.7,105.8,14 2 43-45cm
120.59,2602.1,-999,120.7,118.7,105.8,14 2 50-52cm
120.68,2603.9,-1.05,120.8,118.7,105.8,14 2 60-62cm
120.78,2605.6,-999,120.9,118.7,105.8,14 2 70-72cm
120.87,2607.4,-1.06,121,118.7,105.8,14 2 80-82cm
120.97,2609.2,-0.22,121.1,118.7,105.8,14 2 90-92cm
121.06,2610.9,0.03,121.2,118.7,105.8,14 2 100-102cm
121.16,2612.7,-0.9,121.3,118.7,105.8,14 2 110-112cm
121.28,2615,-0.61,121.43,118.7,105.8,14 2 123-125cm
121.35,2616.6,-1.57,121.5,118.7,105.8,14 2 130-132cm
121.44,2618.9,-1.07,121.6,118.7,105.8,14 2 140-142cm
121.56,2621.9,-1.71,121.73,118.7,105.8,14 3 3-5cm
121.63,2623.6,-999,121.8,118.7,105.8,14 3 10-12cm
121.72,2625.9,-1,121.9,118.7,105.8,14 3 20-22cm
121.82,2628.2,0.01,122,118.7,105.8,14 3 30-32cm
121.91,2630.5,-999,122.1,118.7,105.8,14 3 40-42cm
122.01,2632.8,-999,122.2,118.7,105.8,14 3 50-52cm
122.13,2635.8,-0.37,122.33,118.7,105.8,14 3 63-65cm
122.2,2637.5,0.31,122.4,118.7,105.8,14 3 70-72cm
122.29,2640,-0.38,122.5,118.7,105.8,14 3 80-82cm
122.39,2642.5,-0.24,122.6,118.7,105.8,14 3 90-92cm
122.48,2645,-0.78,122.7,118.7,105.8,14 3 100-102cm
122.58,2647.6,0.33,122.8,118.7,105.8,14 3 110-112cm
122.7,2650.8,0.04,122.93,118.7,105.8,14 3 123-125cm
122.76,2652.5,-999,123,118.7,105.8,14 3 130-132cm
122.86,2654.7,-999,123.1,118.7,105.8,14 3 140-142cm
122.98,2657.5,-0.56,123.23,118.7,105.8,14 4 3-5cm
123.05,2658.9,,123.3,118.7,105.8,14 4 10-12cm
123.14,2661,-0.86,123.4,118.7,105.8,14 4 20-22cm
123.24,2663.2,0.09,123.5,118.7,105.8,14 4 30-32cm
123.33,2665.3,-0.54,123.6,118.7,105.8,14 4 40-42cm
123.43,2667.4,-0.57,123.7,118.7,105.8,14 4 50-52cm
123.52,2669.5,-0.98,123.8,118.7,105.8,14 4 60-62cm
