age_ka,d18O,MgCa,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2845.2,3.68,0.87,6.3263,4.3223,7.9355,1.6883,9.2956,38.1,36.516,39.347,34.47,40.355,1.407,0.97938,1.7436,0.42697,2.0159
2847.5,3.62,0.79,5.8507,3.7408,7.4861,1.0492,8.9164,38.055,36.437,39.35,34.457,40.439,1.3949,0.95786,1.7445,0.42339,2.0384
2848.8,3.78,0.88,6.1824,4.222,7.7692,1.8973,9.0394,38.848,37.214,40.074,35.313,41.206,1.6089,1.1678,1.94,0.65456,2.2456
2852.3,3.67,0.84,6.0819,4.3103,7.4938,2.1808,8.7058,39.295,37.958,40.463,36.201,41.469,1.7296,1.3687,2.0451,0.89419,2.3165
2854,3.74,0.93,6.4322,4.8011,7.8507,2.4171,9.1186,39.588,38.296,40.626,36.542,41.599,1.8088,1.4599,2.0891,0.9864,2.3516
2855.8,3.39,1.06,5.8811,4.0147,7.5794,1.2403,8.8445,38.908,37.387,40.248,35.39,41.349,1.6251,1.2146,1.9869,0.67521,2.2843
2857.5,3.39,0.84,5.4374,3.5345,7.0297,0.92786,8.3047,38.863,37.314,40.097,35.432,41.276,1.613,1.1947,1.9462,0.68659,2.2646
2860.1,3.36,0.92,5.0568,2.7575,6.7238,0.26201,8.0557,38.347,36.575,39.783,34.633,40.933,1.4738,0.99512,1.8614,0.47095,2.1719
2863.3,3.45,0.8,4.5395,2.0955,6.2668,-1.1771,7.8239,37.956,36.003,39.398,33.728,40.628,1.3682,0.84085,1.7574,0.22667,2.0897
2865,3.35,0.84,5.1274,2.8791,6.7876,-0.10857,8.1793,38.647,36.921,40.063,34.602,41.137,1.5548,1.0886,1.937,0.4625,2.227
2867.5,3.26,0.94,5.4908,3.4437,7.0387,0.97099,8.3649,38.491,36.907,39.79,35.064,40.923,1.5126,1.0849,1.8632,0.58725,2.1693
2870,3.32,1.03,5.4825,3.4691,7.0347,1.141,8.4141,38.331,36.766,39.594,34.967,40.785,1.4693,1.0469,1.8104,0.56104,2.1321
2872.5,3.41,0.85,4.9775,2.6969,6.7595,0.056832,8.2387,37.811,35.985,39.181,33.872,40.338,1.3289,0.83605,1.6988,0.26555,2.0111
2872.5,3.41,0.79,5.1914,2.8806,7.034,-0.39563,8.5301,36.889,34.947,38.4,32.503,39.784,1.0801,0.55568,1.4881,-0.10413,1.8616
2874.5,3.53,0.99,5.2588,3.0447,7.0573,0.07256,8.5079,37.134,35.32,38.63,33.052,39.736,1.1461,0.65644,1.55,0.043915,1.8486
2879.6,3.73,1.02,5.3579,3.2302,7.1954,0.51813,8.5443,38.019,36.174,39.338,34.09,40.558,1.3851,0.88704,1.7411,0.32435,2.0708
2881.8,3.8,0.82,6.1012,4.0734,7.8013,1.6117,8.9338,38.977,37.321,40.415,35.267,41.483,1.6437,1.1966,2.0322,0.64211,2.3205
2884.4,3.76,0.96,6.1352,4.1191,7.8081,1.6194,8.9215,39.021,37.415,40.411,35.398,41.477,1.6557,1.2221,2.031,0.67748,2.3188
2886.1,3.77,1.05,6.0335,4.112,7.7131,1.4253,9.0303,38.638,37.148,39.973,35.222,40.966,1.5523,1.1501,1.9127,0.62997,2.1808
2888.2,3.87,0.99,5.3378,3.0161,7.1554,0.34947,8.6334,37.724,35.805,39.191,33.733,40.493,1.3055,0.7873,1.7016,0.22795,2.053
2892.5,3.51,0.89,5.4085,3.1855,7.1654,0.33549,8.5148,37.251,35.574,38.641,33.271,39.84,1.1778,0.72487,1.5531,0.10326,1.8768
2894.3,3.5,0.94,5.942,3.8744,7.6272,1.2596,9.0987,37.857,36.255,39.26,34.131,40.338,1.3414,0.90887,1.7203,0.33547,2.0113
2896.5,3.28,0.93,6.0586,4.0372,7.7811,1.2115,9.1568,37.815,36.256,39.183,34.086,40.282,1.33,0.9092,1.6994,0.32333,1.9963
2897.7,3.46,0.9,5.9236,3.834,7.6531,1.359,8.9612,37.714,36.093,39.089,34.209,40.123,1.3028,0.86516,1.674,0.3565,1.9533
2899.5,3.41,1.02,5.8522,3.8182,7.5555,1.4338,8.9026,37.704,36.086,39.101,34.225,40.126,1.3,0.86328,1.6773,0.36071,1.9541
2901.2,3.33,0.88,6.8806,4.9526,8.507,2.4569,9.7609,38.35,36.837,39.607,34.86,40.734,1.4744,1.066,1.8139,0.53216,2.118
2903,3.42,1.03,7.7403,5.9605,9.1351,3.9086,10.275,38.846,37.469,39.903,35.923,40.869,1.6085,1.2366,1.8939,0.81929,2.1547
2904.7,3.47,0.9,6.7049,4.5856,8.4462,1.7874,9.7857,37.96,36.172,39.304,34.145,40.366,1.3691,0.88636,1.7321,0.3392,2.0189
