mcd,age_ka,d13C_uvi,d18O_uvi,Notes
145.78,3265,-0.51,3.59,1208 16-6 110-112 U
145.97,3270.2,-0.6,3.6,1208 16-6 131-133 U
146.34,3280,-0.91,3.53,1208 16-7 20-22 U
146.45,3282.6,-1.1,3.43,1208 16-7 32-34 U
146.53,3284.4,-1.1,3.53,1208 16-7 40-42 U
146.62,3286.7,-1.12,3.53,1208 16-7 50-52 U
146.71,3288.9,-1.35,3.86,1208 16-7 60-62 U
146.81,3291.1,-1.38,3.84,1208 16-7 70-72 U
146.94,3294.3,-1.5,4.07,1208 16-CC 0-2 U
147.03,3296.5,-1.26,3.97,1208 16-CC 10-12 U
147.32,3303.4,-1.12,3.49,1208 17-1 13-15 U
147.42,3305.6,-1,3.84,1208 17-1 23-25 U
147.49,3307.4,-1.1,3.87,1208 17-1 31-33 U
147.6,3310,-1.03,3.79,1208 17-1 42-44 U
147.67,3311.6,-0.98,3.7,1208 17-1 50-52 U
147.79,3314.2,-0.68,3.33,1208 17-1 63-65 U
147.87,3315.9,-0.78,3.43,1208 17-1 71-73 U
147.97,3318.1,-0.58,3.27,1208 17-1 82-84 U
148.16,3322.2,-0.56,3.48,1208 17-1 102-104 U
148.24,3323.8,-0.91,3.44,1208 17-1 110-112 U
148.36,3326.5,-0.93,3.39,1208 17-1 123-125 U
148.43,3327.9,-0.96,3.44,1208 17-1 130-132 U
148.54,3330.4,-0.84,3.58,1208 17-1 142-144 U
148.83,3339.7,-0.76,3.53,1208 17-2 23-25 U
149.58,3370,-1.13,3.53,1208 17-2 102-104 U
149.84,3377.8,-1.19,3.58,1208 17-2 130-132 U
