mcd,age_ka,MgCa_raw,MgCa_adj,spec,BWT,MgCa_merged
6437.5,1570.3,1.54,1.38,O. umbonatus,1.47,1.38
6453.5,1573.5,1.53,,C. wuellerstorfi,2.47,1.53
6467.5,1575,1.37,1.21,O. umbonatus,0.33,1.21
6497.5,1579.5,1.87,1.71,O. umbonatus,3.67,1.71
6527.5,1584.7,1.57,,C. wuellerstorfi,2.73,1.57
6542.5,1588.4,1.5,,C. wuellerstorfi,2.27,1.5
6587.5,1597,1.72,1.56,O. umbonatus,2.67,1.56
6602.5,1601.4,1.61,1.45,O. umbonatus,1.93,1.45
6617.5,1604.1,1.64,1.48,O. umbonatus,2.13,1.48
6647.5,1611,1.87,1.71,O. umbonatus,3.67,1.71
6662.5,1615.6,1.65,1.49,O. umbonatus,2.2,1.49
6677.5,1618.3,1.41,,C. wuellerstorfi,1.67,1.41
6692.5,1622.7,1.61,,C. wuellerstorfi,3,1.61
6692.5,1622.7,1.72,1.56,O. umbonatus,2.67,1.56
6707.5,1625.4,1.54,,C. wuellerstorfi,2.53,1.54
6707.5,1625.4,1.44,1.28,O. umbonatus,0.8,1.28
6722.5,1630,1.14,,C. wuellerstorfi,-0.13,1.14
6722.5,1630,1.6,1.44,O. umbonatus,1.87,1.44
6737.5,1633.2,1.52,,C. wuellerstorfi,2.4,1.52
6737.5,1633.2,1.89,1.73,O. umbonatus,3.8,1.73
6752.5,1638.5,1.64,,C. wuellerstorfi,3.2,1.64
6752.5,1638.5,1.85,1.69,O. umbonatus,3.53,1.69
6767.5,1641.5,1.63,,C. wuellerstorfi,3.13,1.63
6767.5,1641.5,1.53,1.37,O. umbonatus,1.4,1.37
6782.5,1645.9,1.58,,C. wuellerstorfi,2.8,1.58
6782.5,1645.9,1.67,1.51,O. umbonatus,2.33,1.51
6797.5,1648.5,2.02,1.86,O. umbonatus,4.67,1.86
6812.5,1652.4,1.43,,C. wuellerstorfi,1.8,1.43
6812.5,1652.4,1.49,1.33,O. umbonatus,1.13,1.33
6827.5,1654.7,1.59,,C. wuellerstorfi,2.87,1.59
6842.5,1658.7,1.63,,C. wuellerstorfi,3.13,1.63
6842.5,1658.7,1.52,1.36,O. umbonatus,1.33,1.36
6857.5,1661.3,1.66,,C. wuellerstorfi,3.33,1.66
6857.5,1661.3,1.5,1.34,O. umbonatus,1.2,1.34
6872.5,1665.6,1.46,,C. wuellerstorfi,2,1.46
6872.5,1665.6,1.5,1.34,O. umbonatus,1.2,1.34
6887.5,1668.1,1.65,,C. wuellerstorfi,3.27,1.65
6887.5,1668.1,1.61,1.45,O. umbonatus,1.93,1.45
6900.5,1671.3,1.58,,C. wuellerstorfi,2.8,1.58
6900.5,1671.3,1.54,1.38,O. umbonatus,1.47,1.38
6917.5,1674.3,1.58,,C. wuellerstorfi,2.8,1.58
6917.5,1674.3,1.79,1.63,O. umbonatus,3.13,1.63
6932.5,1678.2,1.64,,C. wuellerstorfi,3.2,1.64
6932.5,1678.2,1.81,1.65,O. umbonatus,3.27,1.65
6947.5,1680.6,1.71,,C. wuellerstorfi,3.67,1.71
6962.5,1685.1,1.77,,C. wuellerstorfi,4.07,1.77
6962.5,1685.1,1.94,1.78,O. umbonatus,4.13,1.78
6977.5,1688.4,1.74,,C. wuellerstorfi,3.87,1.74
6992.5,1694.3,1.88,,C. wuellerstorfi,4.8,1.88
7007.5,1698.8,1.26,,C. wuellerstorfi,0.67,1.26
7007.5,1698.8,1.66,1.5,O. umbonatus,2.27,1.5
7022.5,1709.4,1.4,,C. wuellerstorfi,1.6,1.4
7022.5,1709.4,1.36,1.2,O. umbonatus,0.27,1.2
7037.5,1716.3,1.45,1.29,O. umbonatus,0.87,1.29
7052.5,1727.6,1.47,,C. wuellerstorfi,2.07,1.47
7052.5,1727.6,1.33,1.17,O. umbonatus,0.07,1.17
7067.5,1734.2,1.65,,C. wuellerstorfi,3.27,1.65
7067.5,1734.2,1.84,1.68,O. umbonatus,3.47,1.68
7083,1745.1,1.4,,C. wuellerstorfi,1.6,1.4
7083,1745.1,1.58,1.42,O. umbonatus,1.73,1.42
7112.5,1754.7,1.19,,C. wuellerstorfi,0.2,1.19
7112.5,1754.7,1.59,1.43,O. umbonatus,1.8,1.43
7127.5,1756.8,1.53,,C. wuellerstorfi,2.47,1.53
7127.5,1756.8,1.51,1.35,O. umbonatus,1.27,1.35
7142.5,1759.7,1.66,,C. wuellerstorfi,3.33,1.66
7142.5,1759.7,1.61,1.45,O. umbonatus,1.93,1.45
7324.5,1779.9,1.39,,C. wuellerstorfi,1.53,1.39
7341.5,1782,1.54,,C. wuellerstorfi,2.53,1.54
7354.7,1784.1,1.67,,C. wuellerstorfi,3.4,1.67
7354.7,1784.1,1.72,1.56,O. umbonatus,2.67,1.56
7369.5,1785.6,1.45,1.29,O. umbonatus,0.87,1.29
7382.5,1788,1.51,1.35,O. umbonatus,1.27,1.35
