mcd_te,mcd_d18O,age_ka,MgCa,FeCa,AlCa,d13C_uvi,d18O_uvi,Notes,notes
,133.76,2941.00,,,,-0.66,3.16,1208 15-4 138-140U,
,133.78,2941.00,,,,-0.73,3.03,1208 15-4 140-142U,
,133.90,2943.00,,,,-0.47,3.38,1208 15-5 3-5 U,
,134.08,2948.00,,,,-0.77,3.46,1208-15-5-22-24-U,
,134.17,2950.00,,,,-0.50,3.20,1208-15-5-32-34-U,
,134.28,2952.00,,,,-0.67,3.54,1208-15-5-43-45-U,
,134.34,2954.00,,,,-0.69,3.41,1208 15-5 50-52U,
,134.44,2956.00,,,,-0.95,3.52,1208 15-5 60-62U,
134.49,134.49,2957.00,0.91,,52.00,-0.95,3.52,1208 15-5 60-72U,1208 15-5 60-72
,134.63,2960.00,,,,-0.89,3.47,1208 15-5 80-82U,
134.77,134.77,2963.50,0.89,,52.00,-0.83,3.73,1208 15-5 90-102,1208 15-5 90-102
134.91,134.91,2967.00,1.02,16.00,422.00,-0.87,3.72,1208 15-5 110-112U,1208 15-5 110-112
135.03,135.03,2971.00,0.92,13.00,11.00,-1.06,3.72,1208 15-5 123-125U,1208 15-5 123-125
135.03,135.03,2971.00,0.87,34.00,16.00,-1.06,3.72,1208 15-5 123-125U,1208 15-5 123-125R
135.10,135.10,2973.00,0.97,16.00,12.00,-1.08,3.65,1208 15-5 130-132U,1208 15-5 130-132
135.19,135.19,2976.00,0.83,16.00,23.00,-1.13,3.73,1208 15-5 140-142U,1208 15-5 140-142
135.38,135.38,2982.00,1.00,16.00,22.00,-0.98,3.12,1208 15-6 10-12U,1208 15-6 10-12
135.48,135.48,2985.00,0.94,26.00,23.00,-0.75,3.35,1208 15-6 20-22U,1208 15-6 20-22
135.57,,2988.00,0.97,29.00,85.00,-0.75,3.29,,1208 15-6 30-32
135.67,135.67,2991.00,0.95,33.00,57.00,-0.75,3.22,1208 15-6 40-42U,1208 15-6 40-42
135.76,135.76,2994.00,0.90,,37.00,-0.99,3.31,1208 15-6 50-52U,1208 15-6 50-52
135.86,135.86,2997.00,0.96,20.00,42.00,-0.95,3.21,1208 15-6 60-62U,1208 15-6 60-62
135.95,135.95,3000.00,0.88,18.00,25.00,-1.06,3.42,1208 15-6 70-72U,1208 15-6 70-72
136.04,136.04,3002.00,1.00,23.00,33.00,-1.39,3.52,1208 15-6 80-82U,1208 15-6 80-82
136.14,136.14,3004.00,0.96,21.00,45.00,-1.22,3.70,1208 15-6 90-92U,1208 15-6 90-92
136.23,136.23,3006.00,1.04,21.00,25.00,-1.23,3.59,1208 15-6 100-102U,1208 15-6 100-102
136.33,136.33,3008.00,0.89,20.00,44.00,-1.11,3.55,1208 15-6 110-112U,1208 15-6 110-112
136.45,136.45,3011.00,0.91,23.00,87.00,-1.06,3.68,1208 15-6 123-125U,1208 15-6 123-125
136.52,136.52,3012.00,0.83,19.00,115.00,-1.24,3.56,1208 15-6 130-132U,1208_15-6 130-132
136.61,136.61,3014.00,0.81,19.00,16.00,-1.27,3.62,1208 15-6 140-142U,1208_15-6 140-142R
136.61,136.61,3014.00,0.76,26.00,20.00,-1.27,3.62,1208 15-6 140-142U,1208 15-6 140-142
136.71,136.71,3016.00,0.91,16.00,41.00,-1.21,3.71,1208 15-7 0-2U,1208 15-7 0-2
